"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"00501","HOLTSVILLE, NY","B","D",0,"D",0,"D",0,2,"HOLTSVILLE","NY","SUFFOLK"
"01001","AGAWAM, MA",,"G",9641,"G",87217,"G",376465,457,"AGAWAM","MA","HAMPDEN"
"01002","AMHERST, MA",,"H",18764,"G",108300,"G",454968,571,"AMHERST","MA","HAMPSHIRE"
"01003","AMHERST, MA",,"G",267,"H",2038,"H",8716,18,"AMHERST","MA","HAMPSHIRE"
"01004","AMHERST, MA",,"H",165,"H",1179,"H",5693,13,"AMHERST","MA","HAMPSHIRE"
"01005","BARRE, MA",,"G",926,"G",8208,"G",33497,94,"BARRE","MA","WORCESTER"
"01007","BELCHERTOWN, MA",,"G",1864,"G",13177,"G",61980,223,"BELCHERTOWN","MA","HAMPSHIRE"
"01008","BLANDFORD, MA",,"G",220,"G",767,"G",3119,18,"BLANDFORD","MA","HAMPDEN"
"01009","BONDSVILLE, MA",,"H",142,"H",1330,"H",6979,16,"BONDSVILLE","MA","HAMPDEN"
"01010","BRIMFIELD, MA",,"H",271,"J",3001,"H",15323,75,"BRIMFIELD","MA","HAMPDEN"
"01011","CHESTER, MA",,"J",32,"G",253,"G",1219,13,"CHESTER","MA","HAMPDEN"
"01012","CHESTERFIELD, MA",,"J",45,"J",252,"H",1112,11,"CHESTERFIELD","MA","HAMPSHIRE"
"01013","CHICOPEE, MA",,"G",4331,"H",36932,"G",159274,311,"CHICOPEE","MA","HAMPDEN"
"01014","CHICOPEE, MA","A","D",0,"D",0,"D",0,1,"CHICOPEE","MA","HAMPDEN"
"01020","CHICOPEE, MA",,"G",8768,"G",75616,"G",339382,542,"CHICOPEE","MA","HAMPDEN"
"01021","CHICOPEE, MA",,"G",196,"G",1153,"G",5784,9,"CHICOPEE","MA","HAMPDEN"
"01022","CHICOPEE, MA",,"G",1931,"G",27810,"G",105627,60,"CHICOPEE","MA","HAMPDEN"
"01026","CUMMINGTON, MA",,"G",70,"G",422,"G",2448,23,"CUMMINGTON","MA","HAMPSHIRE"
"01027","EASTHAMPTON, MA",,"G",3892,"G",34194,"G",145229,402,"EASTHAMPTON","MA","HAMPSHIRE"
"01028","EAST LONGMEADOW, MA",,"G",7114,"G",75257,"G",296792,500,"EAST LONGMEADOW","MA","HAMPDEN"
"01029","EAST OTIS, MA",,"J",264,"J",2249,"J",11296,14,"EAST OTIS","MA","BERKSHIRE"
"01030","FEEDING HILLS, MA",,"G",1206,"G",8108,"G",40943,202,"FEEDING HILLS","MA","HAMPDEN"
"01031","GILBERTVILLE, MA",,"G",59,"G",220,"G",1151,18,"GILBERTVILLE","MA","WORCESTER"
"01032","GOSHEN, MA",,"H",100,"G",816,"G",4065,23,"GOSHEN","MA","HAMPSHIRE"
"01033","GRANBY, MA",,"G",731,"G",5729,"G",25905,129,"GRANBY","MA","HAMPSHIRE"
"01034","GRANVILLE, MA",,"H",131,"J",1206,"J",6703,31,"GRANVILLE","MA","HAMPDEN"
"01035","HADLEY, MA",,"G",5061,"G",36189,"G",153282,300,"HADLEY","MA","HAMPSHIRE"
"01036","HAMPDEN, MA",,"G",849,"G",6421,"G",35328,122,"HAMPDEN","MA","HAMPDEN"
"01037","HARDWICK, MA",,"J",267,"J",2404,"J",12385,17,"HARDWICK","MA","WORCESTER"
"01038","HATFIELD, MA",,"H",1358,"H",28790,"H",78389,68,"HATFIELD","MA","HAMPSHIRE"
"01039","HAYDENVILLE, MA",,"G",222,"H",1979,"H",9498,32,"HAYDENVILLE","MA","HAMPSHIRE"
"01040","HOLYOKE, MA",,"G",16968,"G",174867,"G",701665,884,"HOLYOKE","MA","HAMPDEN"
"01041","HOLYOKE, MA",,"G",942,"G",6811,"G",30025,33,"HOLYOKE","MA","HAMPDEN"
"01050","HUNTINGTON, MA",,"H",236,"G",1760,"H",5394,32,"HUNTINGTON","MA","HAMPSHIRE"
"01053","LEEDS, MA",,"H",1645,"H",27247,"H",109488,29,"LEEDS","MA","HAMPSHIRE"
"01054","LEVERETT, MA",,"H",122,"H",867,"H",3867,32,"LEVERETT","MA","FRANKLIN"
"01056","LUDLOW, MA",,"G",4179,"H",38750,"G",185466,409,"LUDLOW","MA","HAMPDEN"
"01057","MONSON, MA",,"G",753,"H",7166,"H",32945,138,"MONSON","MA","HAMPDEN"
"01059","NORTH AMHERST, MA",,"J",107,"H",910,"H",3749,10,"NORTH AMHERST","MA","HAMPSHIRE"
"01060","NORTHAMPTON, MA",,"G",11883,"G",114778,"G",494633,767,"NORTHAMPTON","MA","HAMPSHIRE"
"01061","NORTHAMPTON, MA",,"G",111,"G",1068,"G",4576,19,"NORTHAMPTON","MA","HAMPSHIRE"
"01062","FLORENCE, MA",,"G",1797,"G",16687,"G",69820,190,"FLORENCE","MA","HAMPSHIRE"
"01063","NORTHAMPTON, MA","H","D",0,"D",0,"D",0,4,"NORTHAMPTON","MA","HAMPSHIRE"
"01066","NORTH HATFIELD, MA","B","D",0,"D",0,"D",0,9,"NORTH HATFIELD","MA","HAMPSHIRE"
"01068","OAKHAM, MA",,"J",62,"G",582,"G",2899,26,"OAKHAM","MA","WORCESTER"
"01069","PALMER, MA",,"G",3349,"G",33405,"G",157676,263,"PALMER","MA","HAMPDEN"
"01070","PLAINFIELD, MA",,"J",20,"H",92,"H",491,7,"PLAINFIELD","MA","HAMPSHIRE"
"01071","RUSSELL, MA",,"G",80,"G",364,"G",2343,20,"RUSSELL","MA","HAMPDEN"
"01072","SHUTESBURY, MA",,"G",55,"H",204,"G",1508,19,"SHUTESBURY","MA","FRANKLIN"
"01073","SOUTHAMPTON, MA",,"G",1017,"H",7697,"H",35024,123,"SOUTHAMPTON","MA","HAMPSHIRE"
"01074","SOUTH BARRE, MA",,"J",69,"J",403,"J",2134,9,"SOUTH BARRE","MA","WORCESTER"
"01075","SOUTH HADLEY, MA",,"H",4791,"H",36462,"H",155031,304,"SOUTH HADLEY","MA","HAMPSHIRE"
"01077","SOUTHWICK, MA",,"G",1937,"G",15847,"G",75153,216,"SOUTHWICK","MA","HAMPDEN"
"01079","THORNDIKE, MA",,"G",72,"H",594,"G",2724,11,"THORNDIKE","MA","HAMPDEN"
"01080","THREE RIVERS, MA",,"G",351,"G",2659,"H",12102,40,"THREE RIVERS","MA","HAMPDEN"
"01081","WALES, MA",,"G",49,"G",320,"G",1532,14,"WALES","MA","HAMPDEN"
"01082","WARE, MA",,"G",2291,"H",21941,"H",86693,164,"WARE","MA","HAMPSHIRE"
"01083","WARREN, MA",,"H",245,"H",2666,"H",11219,32,"WARREN","MA","WORCESTER"
"01084","WEST CHESTERFIELD, MA",,"H",22,"J",164,"J",982,4,"WEST CHESTERFIELD","MA","HAMPSHIRE"
"01085","WESTFIELD, MA",,"G",13404,"G",129392,"G",563667,865,"WESTFIELD","MA","HAMPDEN"
"01086","WESTFIELD, MA",,"J",774,"H",5729,"H",23406,17,"WESTFIELD","MA","HAMPDEN"
"01088","WEST HATFIELD, MA",,"G",324,"G",2761,"G",12049,28,"WEST HATFIELD","MA","HAMPSHIRE"
"01089","WEST SPRINGFIELD, MA",,"G",15984,"G",146241,"G",635014,982,"WEST SPRINGFIELD","MA","HAMPDEN"
"01090","WEST SPRINGFIELD, MA",,"G",92,"G",1247,"G",5688,14,"WEST SPRINGFIELD","MA","HAMPDEN"
"01092","WEST WARREN, MA",,"J",87,"J",478,"H",2009,18,"WEST WARREN","MA","WORCESTER"
"01093","WHATELY, MA",,"H",820,"J",9540,"J",39677,32,"WHATELY","MA","FRANKLIN"
"01094","WHEELWRIGHT, MA","A","D",0,"D",0,"D",0,2,"WHEELWRIGHT","MA","WORCESTER"
"01095","WILBRAHAM, MA",,"H",4113,"H",34280,"H",149580,299,"WILBRAHAM","MA","HAMPDEN"
"01096","WILLIAMSBURG, MA",,"G",400,"G",3131,"G",13773,51,"WILLIAMSBURG","MA","HAMPSHIRE"
"01098","WORTHINGTON, MA",,"G",104,"H",711,"H",3377,20,"WORTHINGTON","MA","HAMPSHIRE"
"01101","SPRINGFIELD, MA",,"H",783,"H",5570,"H",23283,23,"SPRINGFIELD","MA","HAMPDEN"
"01102","SPRINGFIELD, MA",,"J",3024,"H",49230,"H",199383,19,"SPRINGFIELD","MA","HAMPDEN"
"01103","SPRINGFIELD, MA",,"G",6547,"G",61853,"G",275651,463,"SPRINGFIELD","MA","HAMPDEN"
"01104","SPRINGFIELD, MA",,"H",13689,"H",172140,"H",800929,515,"SPRINGFIELD","MA","HAMPDEN"
"01105","SPRINGFIELD, MA",,"G",6093,"G",52228,"G",218683,270,"SPRINGFIELD","MA","HAMPDEN"
"01106","LONGMEADOW, MA",,"H",3817,"H",29452,"H",134446,279,"LONGMEADOW","MA","HAMPDEN"
"01107","SPRINGFIELD, MA",,"G",2398,"G",33174,"G",155445,149,"SPRINGFIELD","MA","HAMPDEN"
"01108","SPRINGFIELD, MA",,"G",2452,"G",15806,"G",69182,270,"SPRINGFIELD","MA","HAMPDEN"
"01109","SPRINGFIELD, MA",,"H",7545,"H",49053,"H",216214,283,"SPRINGFIELD","MA","HAMPDEN"
"01111","SPRINGFIELD, MA","H","D",0,"D",0,"D",0,11,"SPRINGFIELD","MA","HAMPDEN"
"01115","SPRINGFIELD, MA",,"H",834,"J",53544,"J",123042,45,"SPRINGFIELD","MA","HAMPDEN"
