zip_code,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),18 years and over,21 years and over,62 years and over,65 years and over,18 years and over,Male,Female,65 years and over,Male,Female,One race,Two or more races,One race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino (of any race),PCT_Male,PCT_Female,PCT_Under 5 years,PCT_5 to 9 years,PCT_10 to 14 years,PCT_15 to 19 years,PCT_20 to 24 years,PCT_25 to 34 years,PCT_35 to 44 years,PCT_45 to 54 years,PCT_55 to 59 years,PCT_60 to 64 years,PCT_65 to 74 years,PCT_75 to 84 years,PCT_85 years and over,PCT_Median age (years),PCT_18 years and over,PCT_21 years and over,PCT_62 years and over,PCT_65 years and over,PCT_18 years and over,PCT_Male,PCT_Female,PCT_65 years and over,PCT_Male,PCT_Female,PCT_One race,PCT_Two or more races,PCT_One race,PCT_White,PCT_Black or African American,PCT_American Indian and Alaska Native,PCT_Asian,PCT_Native Hawaiian and Other Pacific Islander,PCT_Some other race,PCT_Two or more races,PCT_Hispanic or Latino (of any race)
10013,"28,211","13,988","14,223","1,739","1,323",951,"1,107","2,010","5,919","4,892","3,128","1,504","1,829","2,160",915,734,36.9,"23,643","22,434","4,780","3,809","23,643","11,594","12,049","3,809","1,449","2,360","26,750","1,461","26,750","15,813","1,371",36,"9,039",0,491,"1,461","2,025",0.495834958,0.504165042,0.061642622,0.046896601,0.033710255,0.039240013,0.071248804,0.209811776,0.173407536,0.110878735,0.053312538,0.064832867,0.076565879,0.032434157,0.02601822,0.001308,0.838077346,0.795221722,0.169437453,0.135018255,0.838077346,0.410974443,0.427102903,0.135018255,0.051362944,0.083655312,0.94821169,0.05178831,0.94821169,0.560526036,0.048598065,0.001276098,0.320406933,0,0.017404559,0.05178831,0.071780511
10030,"30,358","14,530","15,828","2,147","1,420","1,468","1,816","2,636","6,436","4,298","4,422","1,650","1,354","1,575",665,471,34.1,"24,409","23,209","3,519","2,711","24,409","11,625","12,784","2,711",932,"1,779","28,564","1,794","28,564","4,829","19,828",133,704,69,"3,001","1,794","8,246",0.47862178,0.52137822,0.070722709,0.04677515,0.048356282,0.059819487,0.086830489,0.212003426,0.141577179,0.14566177,0.054351407,0.044601094,0.051880888,0.021905264,0.015514856,0.001123262,0.804038474,0.764510179,0.115916727,0.089301008,0.804038474,0.382930364,0.42110811,0.089301008,0.03070031,0.058600698,0.940905198,0.059094802,0.940905198,0.15906845,0.653139205,0.004381053,0.023189933,0.002272877,0.098853679,0.059094802,0.271625272
11226,"101,787","45,676","56,111","7,107","6,464","6,565","6,237","7,386","18,509","14,291","12,566","5,586","5,781","6,707","3,313","1,275",34.1,"77,565","74,014","14,525","11,295","77,565","33,472","44,093","11,295","4,542","6,753","98,307","3,480","98,307","12,784","71,548",154,"3,266",11,"10,544","3,480","17,589",0.448740998,0.551259002,0.069822276,0.063505163,0.064497431,0.061275015,0.072563294,0.18184051,0.140401034,0.123453879,0.054879307,0.056795072,0.065892501,0.032548361,0.012526158,0.000335013,0.76203248,0.727145903,0.142699952,0.110967019,0.76203248,0.328843565,0.433188914,0.110967019,0.044622594,0.066344425,0.965810958,0.034189042,0.965810958,0.125595607,0.70291884,0.001512963,0.032086612,0.000108069,0.103588867,0.034189042,0.172802028
10305,"41,533","19,853","21,680","2,502","2,455","2,384","2,067","2,510","6,128","5,840","5,981","2,862","2,917","3,286","1,831",770,39.6,"32,891","31,642","7,499","5,887","32,891","15,636","17,255","5,887","2,478","3,409","40,468","1,065","40,468","31,588","2,048",387,"4,792",18,"1,635","1,065","6,932",0.478005441,0.521994559,0.060241254,0.059109624,0.05740014,0.049767655,0.060433872,0.147545325,0.14061108,0.144005971,0.06890906,0.070233308,0.07911781,0.044085426,0.018539475,0.000953459,0.791924494,0.761852021,0.180555221,0.141742711,0.791924494,0.376471721,0.415452772,0.141742711,0.0596634,0.08207931,0.97435774,0.02564226,0.97435774,0.76055185,0.049310187,0.009317892,0.115378133,0.00043339,0.039366287,0.02564226,0.166903426
10280,"9,845","4,921","4,924",815,688,479,208,312,"1,853","2,351","1,442",477,497,549,159,15,37.5,"7,752","7,655",979,723,"7,752","3,782","3,970",723,327,396,"9,560",285,"9,560","7,584",156,0,"1,630",0,190,285,"1,107",0.499847638,0.500152362,0.082783139,0.069883189,0.048654139,0.021127476,0.031691214,0.188217369,0.238801422,0.146470289,0.04845099,0.050482478,0.055764347,0.01615033,0.001523616,0.00380904,0.787404774,0.777552057,0.099441341,0.073438294,0.787404774,0.384154393,0.403250381,0.073438294,0.03321483,0.040223464,0.971051295,0.028948705,0.971051295,0.770340274,0.015845607,0,0.165566277,0,0.019299137,0.028948705,0.112442864
11208,"95,715","44,852","50,863","7,988","7,654","6,246","7,288","7,945","15,056","12,551","13,010","5,444","4,864","4,966","1,968",735,31.8,"69,245","65,001","10,237","7,669","69,245","31,341","37,904","7,669","2,984","4,685","93,575","2,140","93,575","24,511","50,977",278,"5,909",102,"11,798","2,140","39,247",0.468599488,0.531400512,0.083456094,0.079966567,0.065256229,0.076142715,0.083006843,0.157300319,0.131128872,0.135924359,0.056877187,0.050817531,0.051883195,0.020561041,0.007679047,0.000332236,0.723449825,0.679109857,0.106952933,0.080123283,0.723449825,0.32744084,0.396008985,0.080123283,0.031175887,0.048947396,0.977641958,0.022358042,0.977641958,0.256083164,0.532591548,0.002904456,0.06173536,0.001065664,0.123261767,0.022358042,0.410040224
11362,"18,198","8,141","10,057","1,051",914,720,968,734,"2,209","2,464","2,486","1,497","1,358","1,980",935,882,45.2,"14,891","14,467","4,542","3,797","14,891","6,490","8,401","3,797","1,666","2,131","17,613",585,"17,613","9,374",437,0,"7,404",0,398,585,"1,765",0.447356852,0.552643148,0.057753599,0.050225299,0.039564787,0.053192659,0.040334103,0.121386966,0.135399494,0.136608419,0.082261787,0.074623585,0.108803165,0.051379272,0.048466864,0.002483789,0.818276734,0.79497747,0.249587867,0.208649302,0.818276734,0.356632597,0.461644137,0.208649302,0.091548522,0.11710078,0.96785361,0.03214639,0.96785361,0.515111551,0.024013628,0,0.406857896,0,0.021870535,0.03214639,0.09698868
10469,"71,664","32,683","38,981","3,711","4,124","4,427","5,307","5,538","9,412","9,246","10,558","4,260","4,087","5,501","3,828","1,665",38.6,"56,032","52,840","13,400","10,994","56,032","24,622","31,410","10,994","4,047","6,947","69,686","1,978","69,686","13,370","39,319",612,"3,822",138,"12,425","1,978","19,806",0.45605883,0.54394117,0.051783322,0.057546327,0.061774392,0.074053918,0.077277294,0.131335119,0.129018754,0.147326412,0.059444072,0.057030029,0.076760996,0.053415941,0.023233423,0.000538625,0.781870953,0.737329761,0.186983702,0.153410359,0.781870953,0.343575575,0.438295378,0.153410359,0.056471869,0.096938491,0.972398973,0.027601027,0.972398973,0.186565081,0.548657624,0.008539853,0.053332217,0.001925653,0.173378544,0.027601027,0.276373074
10282,"5,635","2,908","2,727",933,342,170,154,122,"1,200","1,641",591,61,137,126,57,101,34.5,"4,036","3,975",347,284,"4,036","1,863","2,173",284,87,197,"5,392",243,"5,392","3,986",78,0,"1,243",0,85,243,388,0.516060337,0.483939663,0.165572316,0.060692103,0.030168589,0.027329193,0.021650399,0.212954747,0.291215617,0.104880213,0.0108252,0.024312334,0.022360248,0.01011535,0.017923691,0.006122449,0.716237799,0.7054126,0.061579414,0.05039929,0.716237799,0.330612245,0.385625555,0.05039929,0.015439219,0.034960071,0.956876664,0.043123336,0.956876664,0.707364685,0.013842059,0,0.220585626,0,0.015084295,0.043123336,0.068855368
11418,"39,908","20,150","19,758","2,817","2,670","2,691","2,796","3,073","6,573","5,439","5,874","2,269","2,029","2,155","1,113",409,33.9,"29,969","28,284","4,798","3,677","29,969","14,995","14,974","3,677","1,522","2,155","37,647","2,261","37,647","15,643","2,887",303,"10,130",0,"8,684","2,261","18,157",0.504911296,0.495088704,0.070587351,0.066903879,0.067430089,0.070061141,0.077002105,0.164703819,0.136288463,0.147188534,0.056855768,0.050841936,0.053999198,0.027889145,0.010248572,0.000849454,0.75095219,0.708730079,0.120226521,0.092136915,0.75095219,0.3757392,0.37521299,0.092136915,0.038137717,0.053999198,0.943344693,0.056655307,0.943344693,0.391976546,0.072341385,0.007592463,0.253833818,0,0.217600481,0.056655307,0.454971434
10471,"21,601","10,175","11,426","1,280",958,923,"1,633","1,359","2,736","2,496","2,583","1,305","1,564","2,054","1,514","1,196",42.7,"17,891","16,230","5,697","4,764","17,891","8,020","9,871","4,764","1,970","2,794","20,975",626,"20,975","15,290","1,707",35,"1,551",0,"2,392",626,"5,110",0.471043007,0.528956993,0.059256516,0.044349799,0.042729503,0.075598352,0.062913754,0.126660803,0.115550206,0.119577797,0.06041387,0.072404055,0.09508819,0.070089348,0.055367807,0.00197676,0.828248692,0.751354104,0.26373779,0.220545345,0.828248692,0.371279107,0.456969585,0.220545345,0.091199482,0.129345864,0.97101986,0.02898014,0.97101986,0.7078376,0.079024119,0.001620295,0.071802231,0,0.110735614,0.02898014,0.236563122
11233,"72,159","32,144","40,015","5,432","5,089","4,918","4,580","6,264","11,700","9,700","9,959","3,608","3,004","4,802","2,250",853,33,"53,735","51,010","9,737","7,905","53,735","22,957","30,778","7,905","2,845","5,060","70,671","1,488","70,671","4,827","58,003",175,"1,158",0,"6,508","1,488","11,249",0.445460719,0.554539281,0.075278205,0.070524813,0.068155046,0.063470946,0.086808298,0.162141937,0.134425366,0.138014662,0.050000693,0.041630289,0.066547485,0.031181142,0.011821117,0.000457323,0.744674954,0.706911127,0.134938123,0.109549744,0.744674954,0.318144653,0.426530301,0.109549744,0.039426821,0.070122923,0.979378872,0.020621128,0.979378872,0.066893943,0.803822115,0.0024252,0.016047894,0,0.09018972,0.020621128,0.15589185
11210,"68,435","31,129","37,306","4,737","5,071","5,006","5,371","5,119","9,247","9,450","8,464","4,266","3,956","4,606","2,310",832,34.5,"50,524","46,804","9,789","7,748","50,524","22,134","28,390","7,748","3,358","4,390","67,167","1,268","67,167","20,260","41,290",64,"2,752",0,"2,801","1,268","5,074",0.454869584,0.545130416,0.069218967,0.07409951,0.073149704,0.078483232,0.074800906,0.135120918,0.138087236,0.123679404,0.062336524,0.057806678,0.067304742,0.033754658,0.012157522,0.000504128,0.738277197,0.683919047,0.143040842,0.113216921,0.738277197,0.323430993,0.414846204,0.113216921,0.049068459,0.064148462,0.981471469,0.018528531,0.981471469,0.296047344,0.603346241,0.000935194,0.040213341,0,0.040929349,0.018528531,0.074143348
11361,"29,322","14,244","15,078","1,445","1,528","1,452","1,681","1,579","4,356","4,385","4,202","2,179","1,887","2,476","1,257",895,41,"23,889","22,899","5,757","4,628","23,889","11,349","12,540","4,628","1,966","2,662","28,558",764,"28,558","14,824",743,0,"11,427",0,"1,564",764,"4,433",0.485778596,0.514221404,0.049280404,0.052111043,0.049519132,0.057328968,0.053850351,0.148557397,0.149546416,0.143305368,0.074312803,0.06435441,0.084441716,0.042868836,0.030523157,0.001398268,0.814712503,0.780949458,0.196337221,0.157833708,0.814712503,0.387047268,0.427665234,0.157833708,0.067048632,0.090785076,0.973944479,0.026055521,0.973944479,0.505558966,0.025339336,0,0.389707387,0,0.05333879,0.026055521,0.151183412
10302,"17,758","9,134","8,624","1,138","1,387","1,068","1,133","1,188","3,243","2,025","2,564","1,146",942,"1,073",611,240,33.6,"13,564","12,748","2,406","1,924","13,564","6,938","6,626","1,924",895,"1,029","16,984",774,"16,984","10,741","3,279",69,"1,384",2,"1,509",774,"6,958",0.514359725,0.485640275,0.064083793,0.078105643,0.060141908,0.06380223,0.066899426,0.182621917,0.114033112,0.144385629,0.064534294,0.053046514,0.060423471,0.034407028,0.013515035,0.001892105,0.763824755,0.717873634,0.135488231,0.108345534,0.763824755,0.390697151,0.373127604,0.108345534,0.05039982,0.057945715,0.956414011,0.043585989,0.956414011,0.60485415,0.184649172,0.003885573,0.077936705,0.000112625,0.084975786,0.043585989,0.391823404
