,address,days_on_trulia,elementary_school_count,high_school_count,middle_school_count,pets_allowed,price,sqft,url,zip_code,school_count,evac,guarantor,storage,garage,deck,elevator,dishwasher,pets,fios available,live in super,fitness center,washing machine,dryer,concierge,balcony,air conditioning,flooring: hardwood,recreation facilities,garden,pied a terre,childrens playroom,terrace,courtyard,pool,furnished,fireplace,sublets,valet parking,off-street parking,cable tv ready,board approval required,parents,co purchase,leed registered,microwave oven
10,"66 West 38th Street, Manhattan, NY",2,42,12,22,1,3795,,https://www.trulia.com/p/ny/manhattan/66-w-38th-st-116f-manhattan-ny-10018--2351990000,10018,76,,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"435 West 45th Street, Manhattan, NY",2,42,11,22,1,1950,500,https://www.trulia.com/p/ny/manhattan/435-w-45th-st-1b-manhattan-ny-10036--2173877447,10036,75,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,"56 West 11th Street, Manhattan, NY",14,42,16,19,0,4550,768,https://www.trulia.com/p/ny/manhattan/56-w-11th-st-5h-manhattan-ny-10011--2351566998,10011,77,,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,"298 Mulberry Street, Manhattan, NY",2,40,13,17,0,5350,,https://www.trulia.com/p/ny/manhattan/298-mulberry-st-4f-manhattan-ny-10012--2172214263,10012,70,,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,"71 West 107th Street, Manhattan, NY",14,27,6,15,0,2475,,https://www.trulia.com/p/ny/manhattan/71-w-107th-st-1a-manhattan-ny-10025--2313761265,10025,48,,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,"200 East 72nd Street, Manhattan, NY",14,29,9,21,0,3550,725,https://www.trulia.com/p/ny/manhattan/200-e-72nd-st-16l-manhattan-ny-10021--2288806968,10021,59,,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,"516 East 78th Street, New York, NY",14,30,7,19,0,2050,,https://www.trulia.com/p/ny/new-york/516-e-78th-st-6a-new-york-ny-10075--2174028767,10075,56,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1006,"175 West 95th Street, Manhattan, NY",14,27,7,15,0,3650,,https://www.trulia.com/p/ny/manhattan/175-w-95th-st-19a-manhattan-ny-10025--2174529075,10025,49,,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1007,"95 East 7th Street, Manhattan, NY",14,39,14,18,0,2800,,https://www.trulia.com/p/ny/manhattan/95-e-7th-st-8-manhattan-ny-10009--2172044896,10009,71,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,"39 Bedford Street, Manhattan, NY",14,44,15,19,1,3250,,https://www.trulia.com/p/ny/manhattan/39-bedford-st-1n-manhattan-ny-10014--2171888425,10014,78,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,"51 Monroe Street, Manhattan, NY",14,35,12,16,0,2495,,https://www.trulia.com/p/ny/manhattan/51-monroe-st-7-manhattan-ny-10002--2351565391,10002,63,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,"202 Rivington Street, Manhattan, NY",2,38,14,18,1,2500,500,https://www.trulia.com/p/ny/manhattan/202-rivington-st-3e-manhattan-ny-10002--2351985012,10002,70,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,"1727 2nd Avenue, Manhattan, NY",14,27,8,18,0,1950,,https://www.trulia.com/p/ny/manhattan/1727-2nd-ave-3rn-manhattan-ny-10128--2174120982,10128,53,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,"332 West 49th Street, Manhattan, NY",14,42,10,23,0,2250,,https://www.trulia.com/p/ny/manhattan/332-w-49th-st-2wr-manhattan-ny-10019--2351511615,10019,75,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,"256 Seaman Avenue, Manhattan, NY",14,21,6,15,0,2110,,https://www.trulia.com/p/ny/manhattan/256-seaman-ave-3d-manhattan-ny-10034--2304203382,10034,42,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,"217 Front Street, Manhattan, NY",2,28,10,13,0,4050,740,https://www.trulia.com/p/ny/manhattan/217-front-st-4b-manhattan-ny-10038--2008693352,10038,51,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1014,"241 West 120th Street, Manhattan, NY",14,27,4,14,0,2250,850,https://www.trulia.com/p/ny/manhattan/241-w-120th-st-2-manhattan-ny-10027--2185829926,10027,45,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,"519 East 82nd Street, Manhattan, NY",14,30,7,19,1,2295,,https://www.trulia.com/p/ny/manhattan/519-e-82nd-st-2c-manhattan-ny-10028--2189152374,10028,56,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,"330 East 46th Street, Manhattan, NY",14,40,12,22,0,3800,729,https://www.trulia.com/p/ny/manhattan/330-e-46th-st-11-d-manhattan-ny-10017--2171886518,10017,74,,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
