address,link,rest_num
119 West 69th Street Manhattan NY,https://www.yelp.com/search?find_loc=119 West 69th Street Manhattan NY&cflt=restaurants,455
250 West 90th Street Manhattan NY,https://www.yelp.com/search?find_loc=250 West 90th Street Manhattan NY&cflt=restaurants,389
24060 65th Avenue Douglaston NY,https://www.yelp.com/search?find_loc=24060 65th Avenue Douglaston NY&cflt=restaurants,24
321 61st Street Brooklyn NY,https://www.yelp.com/search?find_loc=321 61st Street Brooklyn NY&cflt=restaurants,395
7525 153rd Street Flushing NY,https://www.yelp.com/search?find_loc=7525 153rd Street Flushing NY&cflt=restaurants,96
350 West 43rd Street Manhattan NY,https://www.yelp.com/search?find_loc=350 West 43rd Street Manhattan NY&cflt=restaurants,2117
2475 Palisade Avenue Bronx NY,https://www.yelp.com/search?find_loc=2475 Palisade Avenue Bronx NY&cflt=restaurants,21
484 Broome Street Manhattan NY,https://www.yelp.com/search?find_loc=484 Broome Street Manhattan NY&cflt=restaurants,1799
21 West 16th Street Manhattan NY,https://www.yelp.com/search?find_loc=21 West 16th Street Manhattan NY&cflt=restaurants,2350
405 Main Street New York NY,https://www.yelp.com/search?find_loc=405 Main Street New York NY&cflt=restaurants,384
14117 Union Turnpike Kew Gardens Hills NY,https://www.yelp.com/search?find_loc=14117 Union Turnpike Kew Gardens Hills NY&cflt=restaurants,140
10404 47th Avenue Corona NY,https://www.yelp.com/search?find_loc=10404 47th Avenue Corona NY&cflt=restaurants,318
284 Putnam Avenue Brooklyn NY,https://www.yelp.com/search?find_loc=284 Putnam Avenue Brooklyn NY&cflt=restaurants,305
324 East 120th Street Manhattan NY,https://www.yelp.com/search?find_loc=324 East 120th Street Manhattan NY&cflt=restaurants,369
37 De Sales Place Brooklyn NY,https://www.yelp.com/search?find_loc=37 De Sales Place Brooklyn NY&cflt=restaurants,116
518 West 204th Street Manhattan NY,https://www.yelp.com/search?find_loc=518 West 204th Street Manhattan NY&cflt=restaurants,228
135 India Street Brooklyn NY,https://www.yelp.com/search?find_loc=135 India Street Brooklyn NY&cflt=restaurants,208
474 Madison Street Brooklyn NY,https://www.yelp.com/search?find_loc=474 Madison Street Brooklyn NY&cflt=restaurants,262
135-20 Hoover Avenue Queens NY,https://www.yelp.com/search?find_loc=135-20 Hoover Avenue Queens NY&cflt=restaurants,167
440 East 75th Street Manhattan NY,https://www.yelp.com/search?find_loc=440 East 75th Street Manhattan NY&cflt=restaurants,637
135 North 11th Street Brooklyn NY,https://www.yelp.com/search?find_loc=135 North 11th Street Brooklyn NY&cflt=restaurants,596
7101 Shore Road Brooklyn NY,https://www.yelp.com/search?find_loc=7101 Shore Road Brooklyn NY&cflt=restaurants,115
9810 64th Avenue Rego Park NY,https://www.yelp.com/search?find_loc=9810 64th Avenue Rego Park NY&cflt=restaurants,275
8008 135th Street Briarwood NY,https://www.yelp.com/search?find_loc=8008 135th Street Briarwood NY&cflt=restaurants,155
308 West 103rd Street Manhattan NY,https://www.yelp.com/search?find_loc=308 West 103rd Street Manhattan NY&cflt=restaurants,312
445 East 9th Street Manhattan NY,https://www.yelp.com/search?find_loc=445 East 9th Street Manhattan NY&cflt=restaurants,1437
342 East 53rd Street Manhattan NY,https://www.yelp.com/search?find_loc=342 East 53rd Street Manhattan NY&cflt=restaurants,1449
3409 83rd Street Jackson Heights NY,https://www.yelp.com/search?find_loc=3409 83rd Street Jackson Heights NY&cflt=restaurants,539
30 East 85th Street Manhattan NY,https://www.yelp.com/search?find_loc=30 East 85th Street Manhattan NY&cflt=restaurants,592
4145 149th Street Flushing NY,https://www.yelp.com/search?find_loc=4145 149th Street Flushing NY&cflt=restaurants,313
224 East 85th Street Manhattan NY,https://www.yelp.com/search?find_loc=224 East 85th Street Manhattan NY&cflt=restaurants,665
290 West 12th Street Manhattan NY,https://www.yelp.com/search?find_loc=290 West 12th Street Manhattan NY&cflt=restaurants,1323
7401 Ridge Boulevard Brooklyn NY,https://www.yelp.com/search?find_loc=7401 Ridge Boulevard Brooklyn NY&cflt=restaurants,259
3123 Crescent Street Astoria NY,https://www.yelp.com/search?find_loc=3123 Crescent Street Astoria NY&cflt=restaurants,517
305 East 86th Street Manhattan NY,https://www.yelp.com/search?find_loc=305 East 86th Street Manhattan NY&cflt=restaurants,642
289 Balcom Avenue Bronx NY,https://www.yelp.com/search?find_loc=289 Balcom Avenue Bronx NY&cflt=restaurants,25
9201 Shore Road Brooklyn NY,https://www.yelp.com/search?find_loc=9201 Shore Road Brooklyn NY&cflt=restaurants,167
126 East 31st Street Manhattan NY,https://www.yelp.com/search?find_loc=126 East 31st Street Manhattan NY&cflt=restaurants,2221
1708 Gates Avenue Ridgewood NY,https://www.yelp.com/search?find_loc=1708 Gates Avenue Ridgewood NY&cflt=restaurants,482
65 East 54th Street Manhattan NY,https://www.yelp.com/search?find_loc=65 East 54th Street Manhattan NY&cflt=restaurants,2145
125 Seaman Avenue Manhattan NY,https://www.yelp.com/search?find_loc=125 Seaman Avenue Manhattan NY&cflt=restaurants,195
450 West 17th Street Manhattan NY,https://www.yelp.com/search?find_loc=450 West 17th Street Manhattan NY&cflt=restaurants,855
1605 Putnam Avenue Ridgewood NY,https://www.yelp.com/search?find_loc=1605 Putnam Avenue Ridgewood NY&cflt=restaurants,472
250 West 100th Street Manhattan NY,https://www.yelp.com/search?find_loc=250 West 100th Street Manhattan NY&cflt=restaurants,329
114 Powers Street Brooklyn NY,https://www.yelp.com/search?find_loc=114 Powers Street Brooklyn NY&cflt=restaurants,490
38 Scholes Street Brooklyn NY,https://www.yelp.com/search?find_loc=38 Scholes Street Brooklyn NY&cflt=restaurants,534
220 East 57th Street Manhattan NY,https://www.yelp.com/search?find_loc=220 East 57th Street Manhattan NY&cflt=restaurants,1608
306 East 91st Street Manhattan NY,https://www.yelp.com/search?find_loc=306 East 91st Street Manhattan NY&cflt=restaurants,582
628 East 11th Street Manhattan NY,https://www.yelp.com/search?find_loc=628 East 11th Street Manhattan NY&cflt=restaurants,1103
195 Smith Street Brooklyn NY,https://www.yelp.com/search?find_loc=195 Smith Street Brooklyn NY&cflt=restaurants,564
175 West 95th Street Manhattan NY,https://www.yelp.com/search?find_loc=175 West 95th Street Manhattan NY&cflt=restaurants,413
57 West 70th Street Manhattan NY,https://www.yelp.com/search?find_loc=57 West 70th Street Manhattan NY&cflt=restaurants,447
19 Saint Marks Place Manhattan NY,https://www.yelp.com/search?find_loc=19 Saint Marks Place Manhattan NY&cflt=restaurants,1898
340 21st Street Brooklyn NY,https://www.yelp.com/search?find_loc=340 21st Street Brooklyn NY&cflt=restaurants,210
423 Butler Street Brooklyn NY,https://www.yelp.com/search?find_loc=423 Butler Street Brooklyn NY&cflt=restaurants,530
227 Troy Avenue Brooklyn NY,https://www.yelp.com/search?find_loc=227 Troy Avenue Brooklyn NY&cflt=restaurants,254
24 Clifton Place Brooklyn NY,https://www.yelp.com/search?find_loc=24 Clifton Place Brooklyn NY&cflt=restaurants,385
333 86th Street Brooklyn NY,https://www.yelp.com/search?find_loc=333 86th Street Brooklyn NY&cflt=restaurants,294
246 East 112th Street New York NY,https://www.yelp.com/search?find_loc=246 East 112th Street New York NY&cflt=restaurants,424
16605 88th Avenue Jamaica NY,https://www.yelp.com/search?find_loc=16605 88th Avenue Jamaica NY&cflt=restaurants,249
3024 Brighton 3 Street Brooklyn NY,https://www.yelp.com/search?find_loc=3024 Brighton 3 Street Brooklyn NY&cflt=restaurants,126
